,Host,3/5,,Level,Month,Discord,Badge,Agent,New,Active,Prorate,Days,Day Pace,Days Goal,Days Left,Hours,Hrs Goal,Hours Left,💎,💎 Pace,Tier,Tier Goal,Tier Left,Tier Status,Tier LM,Grad,💎 Last 30,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,Days Month,Hours Month,Link
67,7359135264155107334,danielsbrowning,GO,,35,@danielsbrowning,,LEVI,18,Y,1.00,1,28%,7,6,2,15,13,"28,882","179,068",1,"100,000","71,118",Down,1,,"4,134,185","81,345","34,810",0,0,7,0,0,0,-,0,8,20,https://www.tiktok.com/@danielsbrowning
68,7444838821734268929,fishon053,GO,,16,@brian503669,,LEVI,18,Y,1.00,4,113%,7,3,14,15,1,"26,399","163,674",1,"100,000","73,601",Down,1,,"17,624","84,078","20,502",1,0,9,"26,800",0,0,-,0,11,30,https://www.tiktok.com/@fishon053
69,7573460772341334029,gorgeousgoddessart,GO,,5,@deravenj95,,LEVI,484,Y,1.00,3,85%,7,4,14,15,1,"26,338","163,296",1,"200,000","173,662",Down,2,,"50,208","131,823","46,935",2,4,26,0,0,0,-,0,15,40,https://www.tiktok.com/@gorgeousgoddessart
70,7527045326104985617,jordananthonymusic,GO,,9,@itsjordananthony,Music,LEVI,33,Y,1.00,2,56%,7,5,2,15,13,"25,536","158,323",1,"500,000","474,464",Down,4,,"344,064","318,094","42,735",1,-1,19,"2,000",0,"2,000",-,0,11,30,https://www.tiktok.com/@jordananthonymusic
71,7566313243967471630,davidwilliamwatts,GO,,6,@dwatts7776,,ASHLEY,56,Y,1.00,4,113%,7,3,7,15,8,"24,421","151,410",1,"1,000,000","975,579",Down,5,,"1,073,688","522,431","423,343",3,4,48,"65,900","8,000","32,000",1x,"32,000",18,60,https://www.tiktok.com/@davidwilliamwatts
72,7548650142132584461,allltimesam,GO,,7,@alltimesam,Gaming,BRYTON,24,Y,1.00,2,56%,7,5,8,15,7,"23,852","147,882",1,"200,000","176,148",Down,2,,"2,711","115,329","146,887",2,4,29,0,0,0,-,0,15,40,https://www.tiktok.com/@allltimesam
73,7556036936314470414,laketimemamaw,GO,,1,@laketimemamaw,,LEVI,375,Y,1.00,4,113%,7,3,9,15,6,"23,644","146,593",1,"100,000","76,356",Down,1,✧,"8,081",,,,,1,0,0,0,-,0,8,20,https://www.tiktok.com/@laketimemamaw
74,7474398331670626321,_alycen,GO,,14,@alycen_,,CARRINGTON,607,Y,1.00,5,141%,7,2,29,15,-14,"21,386","132,593",1,"200,000","178,614",Down,2,,"18,186","194,624","521,978",5,5,51,"9,500","2,000","7,500",1x,"7,500",22,80,https://www.tiktok.com/@_alycen
75,7454359110578864145,alliemsx,GO,,16,@alliems,Gaming,CARRINGTON,11,Y,1.00,2,56%,7,5,7,15,8,"21,328","132,234",1,"500,000","478,672",Down,4,,"13,714","356,731","535,672",5,5,55,"237,000",0,500,1x,500,22,80,https://www.tiktok.com/@alliemsx
76,7498149470513889297,sierralevesquemusic,GO,,12,@sierralevesque,Music,LEVI,352,Y,1.00,2,56%,7,5,3,15,12,"20,571","127,540",1,"200,000","179,429",Down,2,,"569,394","195,480","51,594",0,-1,13,"40,500",0,"35,500",-,0,8,20,https://www.tiktok.com/@sierralevesquemusic
77,7359139881689448454,dontaskhowmany,GO,,4,@_notthemomma,,BRYTON,0,Y,1.00,0,0%,7,7,0,15,15,"20,501","127,106",1,"100,000","79,499",Down,1,,"1,092",0,"1,000",-1,-1,1,0,0,0,-,0,8,20,https://www.tiktok.com/@dontaskhowmany
78,7359134682556170245,smilinjacks69,GO,,44,@thejachakrachakra,ASMR,SIERRA,1,Y,1.00,2,56%,7,5,4,15,11,"19,813","122,841",1,"100,000","80,187",Down,1,,"18,072","12,088","9,007",-1,-1,1,"3,000",0,"3,000",-,0,8,20,https://www.tiktok.com/@smilinjacks69
79,7359135361911652357,shelbyjo89,GO,,35,@shelbyjo89,,CARRINGTON,25,Y,1.00,4,113%,7,3,26,15,-11,"19,160","118,792",1,"200,000","180,840",Down,2,,"37,279","106,630","121,077",4,5,37,0,0,0,1x,0,22,80,https://www.tiktok.com/@shelbyjo89
80,7535336479992889358,whitn084,GO,,8,@whitney552,,LEVI,50,Y,1.00,4,113%,7,3,10,15,5,"18,653","115,649",1,"100,000","81,347",Down,1,,"11,766","73,210","106,616",2,5,28,"16,000",0,"16,000",-,0,15,40,https://www.tiktok.com/@whitn084
81,7359137468693872645,shed0fficial,GO,,21,@shedsings,,CARRINGTON,34,Y,1.00,5,141%,7,2,20,15,-5,"18,489","114,632",1,"200,000","181,511",Down,2,,"36,795","122,015","234,249",4,2,34,"2,750",0,"2,750",1x,"2,750",22,80,https://www.tiktok.com/@shed0fficial
82,7433657413758304273,a.marie.911,GO,,13,@a.marie.911,,LEVI,20,Y,1.00,4,113%,7,3,7,15,8,"18,220","112,964",1,"500,000","481,780",Down,4,,"26,552","329,588","93,580",2,0,23,"12,000",0,"12,000",-,0,15,40,https://www.tiktok.com/@a.marie.911
