CID,TikTok,Type,Date,Plus,Minus
7570175504641474574,foolishondemkeyz,Music Cypher,12/19/2025,"5,000",
7359135097779519493,bryton.39,Royal Rumble,12/17/2025,"9,000",-9000
7567822393935380494,the_greekbeast,Royal Rumble,12/17/2025,"19,000",-9000
7359135097779519493,bryton.39,Gifted,12/17/2025,,-2000
7359135097779519493,bryton.39,Bonus,12/16/2025,"72,000",-72000
7359135097779519493,bryton.39,Gifted,12/16/2025,,-1600
7359135097779519493,bryton.39,Sunday Knockout,12/15/2025,"42,000",-42000
7359135084659736581,samanthasingsit,Sunday Knockout,12/15/2025,"18,000",-18000
7567822393935380494,the_greekbeast,Sunday Knockout,12/15/2025,"6,000",-6000
7359134961959632902,thecyrilia,Sunday Knockout,12/15/2025,"10,000",
7444838821734268929,fishon053,Sunday Knockout,12/15/2025,"12,000",-12000
7567822393935380494,the_greekbeast,Gifted,12/14/2025,,-10000
7417960855335354369,pcdrums76,Bonus,12/14/2025,"36,000",-36000
7359134585688522757,singleonthemove,Bonus,12/14/2025,"72,000",-72000
7359135097779519493,bryton.39,Gifted,12/14/2025,,-114000
7359134960558571525,smity194,Bonus,12/13/2025,"36,000",-36000
7433607263870517264,alexaraeemusic,Bonus,12/13/2025,"36,000",-36000
7359137631822708741,sam_g_89,Bonus,12/13/2025,"36,000",-36000
7554552006812188727,imjustnicob,Bonus,12/13/2025,"36,000",-36000
7527933905626988561,shanellenikolee,Gifted,12/13/2025,,-12000
7359135097779519493,bryton.39,Royal Rumble,12/12/2025,"12,000",-12000
7567822393935380494,the_greekbeast,Royal Rumble,12/12/2025,"10,000",
7359135283092226053,oregonstargirl,Bonus,12/11/2025,"35,000",-35000
7527933905626988561,shanellenikolee,Bonus,12/11/2025,"35,000",-35000
7513787055730638849,cwdetroit,Bonus,12/11/2025,"35,000",-35000
7359134585688522757,singleonthemove,Bonus,12/11/2025,"35,000",-35000
7359135097779519493,bryton.39,Royal Rumble,12/10/2025,"45,000",-15000
7359134585688522757,singleonthemove,Bonus,12/8/2025,"35,000",-35000
7359135097779519493,bryton.39,Sunday Knockout,12/8/2025,"24,000",-4000
7566313243967471630,davidwilliamwatts,Sunday Knockout,12/8/2025,"3,000",-3000
7576723590549389326,gaywhonotme,Sunday Knockout,12/8/2025,"6,000",-2000
7417960855335354369,pcdrums76,Bonus,12/8/2025,"70,000",-70000
7359135727810052101,hotterjakepaul,Bonus,12/6/2025,"35,000",-35000
7433607263870517264,alexaraeemusic,Music Cypher,12/5/2025,"2,000",-2000
7359136363951816710,rockylanemusic,Music Cypher,12/5/2025,"4,000",-4000
7359136672245809158,natalianope,Music Cypher,12/5/2025,"7,000",-2000
7359134572702957574,jayden_egg,Gifted,12/4/2025,,-30000
7359135105165656069,freekbass,Royal Rumble,12/4/2025,"84,000",-54000
