,Host,TikTok,,Level,Month,Discord,Agent,Ranks,Bonus,New,Tix,Days,Day Pace,Active,Days Left,Hours,Hrs Goal,Hours Left,💎,Status,💎 Last 30,Growth %,Grad Left,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,LH,LH Camps
72,7359134527924666373,mrproducer___,GO,5,45,@jonwick534253642,CARRINGTON,0,0,"2,358",0,29,132%,Y,1.00,177,80,-,"179,383",,"165,834",-12%,NR,"204,132","357,338",4,5,47,"5,000",0,"5,000",1x,"5,000",FALSE,FALSE
73,7359135589712560133,silvershadowmark,GO,5,31,@silvershadowmark,CARRINGTON,0,0,"1,077",4K,30,136%,Y,1.00,141,80,-,"178,550",,"166,978",-12%,NR,"203,167","227,163",3,4,44,"40,750",0,"20,750",1x,"20,750",FALSE,FALSE
74,7359134813120659461,jeremiahboutross,GO,5,39,@jeremiahboutross,CARRINGTON,0,"5,000",112,92K,28,127%,Y,1.00,115,80,-,"162,773",,"161,805",-40%,NR,"273,252","305,201",4,5,47,"127,100",0,"7,000",1x,"7,000",FALSE,FALSE
75,7359136989104308230,jbk24241,GO,1,7,@jbk2424,LEVI,0,0,157,2K,14,64%,Y,1.00,39,40,1,"157,995",,"152,790",-33%,NR,"237,175","288,667",2,2,28,"4,000",0,0,-,0,FALSE,FALSE
76,7359135160358699014,kayy.jayy26,GO,3,34,@kayy.jayy26,LEVI,0,"5,000",121,22K,22,100%,Y,1.00,71,80,9,"157,690",,"140,808",326%,NR,"37,057","33,012",0,0,18,"10,500","4,000","4,500",-,0,FALSE,FALSE
76,7359134507833982981,loisa_asmr,GO,-1,45,@loisa8427,LEVI,0,0,356,2K,4,18%,Y,1.00,8,15,7,"153,405",,"153,405",-34%,NR,"233,985","154,335",-1,-1,19,"32,500",0,"20,500",-,0,FALSE,FALSE
78,7359135185687904261,ashtingles,GO,0,34,@asmrashleybenitez,LEVI,0,0,"1,108",5K,15,68%,Y,1.00,23,40,17,"149,348",,"149,348",61%,NR,"92,477","163,603",0,0,13,"3,500",0,"-2,500",-,0,FALSE,FALSE
78,7595776572192243726,muthafknsid,GO,5,1,@sid13md.,BRYTON,0,"3,000","1,100",4K,14,64%,Y,0.52,94,80,-,"148,034",✦,"148,034",#DIV/0!,71,,,,,22,0,0,0,1x,0,FALSE,FALSE
80,7359137269107916806,metalkitten2,GO,0,26,@mistressmetalkitten,LEVI,0,0,276,200,7,32%,Y,1.00,16,20,4,"147,471",✧,"147,471",-53%,NR,"313,732","626,273",1,2,24,"14,000",0,"14,000",-,0,FALSE,FALSE
81,7548650142132584461,allltimesam,GO,4,5,@alltimesam,BRYTON,0,0,336,2K,21,95%,Y,1.00,83,80,-,"146,887",,"134,605",-40%,NR,"246,498","218,616",4,2,43,0,0,0,1x,0,FALSE,FALSE
